food_name,serving_size_g,energy_kcal,carbohydrate_g,total_sugars_g,fat_g,protein_g,calcium_mg,phosph_mg,sodium_mg,potassium_mg,magnesium_mg,iron_mg,zinc_mg,cholesterol_mg,transfat_g,class
새우초밥,250.0,395.54,69.54299999999999,2.988,1.206,22.737,73.38999999999999,341.13,1396.751,372.745,2.6,2.619,2.169,138.33,0.0,01016004
새우튀김롤,300.0,572.016,81.496,3.996,18.896,21.112,110.82,371.52,1512.501,715.82,0.24,3.415999999999999,2.492,96.53999999999999,0.0,01016005
샐러드김밥,250.0,422.434,75.84150000000001,0.0,7.508,12.764,45.65850000000001,226.5095,906.6774999999999,541.3279999999999,13.7375,2.147,2.240499999999999,100.5305,0.0,01016006
광어초밥,300.0,471.6640000000001,72.526,5.229,3.206,33.74149999999999,88.07100000000001,410.8865,951.2755,747.0895,1.4,2.956,1.943,126.495,0.0,01016007
소고기김밥,250.0,425.6660000000001,76.07049999999998,0.0,6.636000000000001,14.671,64.3295,236.137,1477.9845,553.9969999999998,12.5195,2.2725,2.6055,99.8725,0.0,01016008
갈비삼각김밥,100.0,183.18,32.746,0.0,2.595,6.861000000000001,14.925,90.90299999999999,398.119,180.594,4.932,1.159,1.172,12.42,0.0,01016009
연어롤 ,300.0,518.58,76.107,0.0,14.719,20.723,64.97300000000001,359.158,1243.818,665.561,23.577,3.833,2.139,51.73200000000001,0.0,01016010
연어초밥,250.0,451.029,70.868,3.964,5.763,24.94,38.0255,367.082,995.03,476.129,0.796,1.687,1.874,54.6,0.0,01016011
유부초밥,250.0,463.21,78.47399999999999,6.765,11.232,12.366,120.18,225.59,929.0659999999998,291.498,27.276,2.108,2.137,0.0,0.0,01016012
장어초밥,400.0,486.34837,74.84050999999998,2.0595,12.7349,16.32504,132.82813,283.26887,1291.80505,500.6418,14.5475,2.5158,2.39437,130.42722,0.0,01016013
참치김밥,250.0,401.224,47.553,0.0,14.587,19.825,57.80499999999999,279.82,925.7310000000001,380.325,15.63,4.523,1.9622,143.67,0.0,01016014
참치마요삼각김밥,100.0,189.582,31.934,0.0,2.889,8.11,6.98,82.82000000000001,189.1,69.275,0.0,1.591,0.7718,16.63,0.0,01016015
치즈김밥 ,250.0,462.2269,77.125,0.0,8.843,17.1226,137.5233,330.2333,919.9703,445.7231,10.18,1.4263,2.53,83.02000000000001,0.0,01016017
캘리포니아롤,300.0,468.16,81.22,0.0,9.73,12.8,106.58,211.89,1351.96,271.15,3.06,4.95,3.08,28.34,0.0,01016018
한치초밥,250.0,389.96,77.31,1.74,1.2,13.54,19.98,222.63,1153.49,182.25,1.65,1.86,2.54,0.75,0.0,01016019
일반김밥,200.0,348.87,63.636,0.0,5.424,10.276,41.45,159.43,951.3200000000002,355.38,3.24,3.398,1.906,69.12,0.0,01016020
간자장,650.0,807.7367999999999,121.748,6.7932,26.3806,29.2832,124.3488,308.088,2347.7712,607.1768000000001,21.248,7.059999999999999,2.6116,19.4344,0.0,02011001
굴짬뽕,900.0,640.774,115.816,1.998,7.759,37.39,196.77,506.6,2385.345,1371.885,48.86000000000001,14.281,10.337,178.2,0.0,02011002
기스면,1000.0,645.6099999999999,98.30199999999999,0.0,11.004,43.517,270.98,443.37,2279.524,862.721,11.6,12.271,3.133,341.1,0.0,02011003
김치라면,650.0,512.2552499999999,80.56555,2.27305,20.3385,12.97075,62.70224999999999,166.9395,2628.288,652.66825,1.495,1.8239,1.29675,15.405,0.0,02011004
